NIST SP 800-53, REVISION 5 CONTROLS		ISO/IEC 27001:2022 REQUIREMENTS AND CONTROLS  Note: An asterisk (*) indicates that the ISO/IEC control does not fully satisfy the intent of the NIST control.
AC-1	Access Control Policy and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, A.5.1, A.5.2, A.5.4, A.5.15, A.5.31, A.5.36, A.5.37
AC-2	Account Management	A.5.16, A.5.18, A.8.2
AC-3	Access Enforcement	A.5.15, A.5.33*, A.8.3, A.8.4*, A.8.18, A.8.20, A.8.26
AC-4	Information Flow Enforcement	A.5.14, A.8.22, A.8.23
AC-5	Separation of Duties	A.5.3
AC-6	Least Privilege	A.5.15*, A.8.2, A.8.18
AC-7	Unsuccessful Logon Attempts	A.8.5*
AC-8	System Use Notification	A.8.5*
AC-9	Previous Logon Notification	A.8.5*
AC-10	Concurrent Session Control	None
AC-11	Device Lock	A.7.7, A.8.1
AC-12	Session Termination	None
AC-13	Withdrawn	---
AC-14	Permitted Actions without Identification or Authentication	None
AC-15	Withdrawn	---
AC-16	Security and Privacy Attributes	None
AC-17	Remote Access	A.5.14, A.6.7, A.8.1,
AC-18	Wireless Access	A.5.14, A.8.1, A.8.20
AC-19	Access Control for Mobile Devices	A.5.14, A.7.9, A.8.1
AC-20	Use of External Systems	A.5.14, A.7.9, A.8.20
AC-21	Information Sharing	None
AC-22	Publicly Accessible Content	None
AC-23	Data Mining Protection	None
AC-24	Access Control Decisions	A.8.3*
AC-25	Reference Monitor	None
AT-1	Awareness and Training Policy and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, A.5.1, A.5.2, A.5.4, A.5.31, A.5.36, A.5.37
AT-2	Literacy Training and Awareness	7.3, A.6.3, A.8.7*
AT-3	Role-Based Training	A.6.3*
AT-4	Training Records	None
AT-5	Withdrawn	---
AT-6	Training Feedback	None
AU-1	Audit and Accountability Policy and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, A.5.1, A.5.2, A.5.4, A.5.31, A.5.36, A.5.37
AU-2	Event Logging	A.8.15
AU-3	Content of Audit Records	A.8.15*
AU-4	Audit Log Storage Capacity	A.8.6
AU-5	Response to Audit Logging Process Failures	None
AU-6	Audit Record Review, Analysis, and Reporting	A.5.25, A.6.8, A.8.15
AU-7	Audit Record Reduction and Report Generation	None
AU-8	Time Stamps	A.8.17
AU-9	Protection of Audit Information	A.5.33, A.8.15
AU-10	Non-repudiation	None
AU-11	Audit Record Retention	A.5.28, A.8.15
AU-12	Audit Record Generation	A.8.15
AU-13	Monitoring for Information Disclosure	A.8.12, A.8.16*
AU-14	Session Audit	A.8.15*
AU-15	Withdrawn	---
AU-16	Cross-Organizational Audit Logging	None
CA-1	Assessment and Authorization Policies and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, 9.2.2*, 9.3.1*, A.5.1, A.5.2, A.5.4, A.5.31, A.5.36, A.5.37
CA-2	Control Assessments	9.2.1*, 9.2.2*, A.5.30*, A.5.36, A.8.29
CA-3	Information Exchange	A.5.14, A.8.21
CA-4	Withdrawn	---
CA-5	Plan of Action and Milestones	8.3, 9.3.3*, 10.2*
CA-6	Authorization	9.3.1*, 9.3.3*
CA-7	Continuous Monitoring	9.1, 9.3.2*, 9.3.3*, A.5.36*
CA-8	Penetration Testing	None
CA-9	Internal System Connections	None
CM-1	Configuration Management Policy and Procedures	5.2, 5.3, 7.5.1, 7.5.2, 7.5.3, A.5.1, A.5.2, A.5.4, A.5.31, A.5.36, A.5.37, A.8.9
CM-2	Baseline Configuration	A.8.9
CM-3	Configuration Change Control	8.1, 9.3.3*, A.8.9, A.8.32
CM-4	Impact Analyses	A.8.9
CM-5	Access Restrictions for Change	A.8.2, A.8.4, A.8.9, A.8.19, A.8.31, A.8.32
CM-6	Configuration Settings	A.8.9
CM-7	Least Functionality	A.8.19*
CM-8	System Component Inventory	A.5.9, A.8.9
CM-9	Configuration Management Plan	A.5.2*, A.8.9
CM-10	Software Usage Restrictions	A.5.32*
CM-11	User-Installed Software	A.8.19*
CM-12	Information Location	None
